ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000538.SZ,20250801,56.08,57.28,56.08,56.29,56.08,0.21,0.3745,131651.93,744947.474
000538.SZ,20250804,56.34,56.66,55.81,56.11,56.29,-0.18,-0.3198,123682.47,693000.059
000538.SZ,20250805,56.11,56.22,56.01,56.18,56.11,0.07,0.1248,81256.22,456017.375
000538.SZ,20250806,56.18,56.35,55.81,55.96,56.18,-0.22,-0.3916,129746.21,725930.268
000538.SZ,20250807,56.0,56.07,55.81,55.84,55.96,-0.12,-0.2144,84428.31,471868.708
000538.SZ,20250808,55.84,56.02,55.75,55.89,55.84,0.05,0.0895,65209.73,364330.098
000538.SZ,20250811,55.92,56.04,55.76,56.01,55.89,0.12,0.2147,74858.31,418581.211
000538.SZ,20250812,56.03,56.2,55.85,55.95,56.01,-0.06,-0.1071,76526.74,428656.94
000538.SZ,20250813,56.01,56.12,55.83,56.0,55.95,0.05,0.0894,92178.65,515940.21
000538.SZ,20250814,56.01,56.37,55.87,55.88,56.0,-0.12,-0.2143,117295.5,657943.862
000538.SZ,20250815,55.88,55.96,55.5,55.96,55.88,0.08,0.1432,115913.85,646027.178
000538.SZ,20250818,56.38,57.09,56.21,56.84,55.96,0.88,1.5726,202171.92,1146483.914
000538.SZ,20250819,57.12,57.3,56.43,56.53,56.84,-0.31,-0.5454,131385.66,746214.038
000538.SZ,20250820,56.52,56.94,56.26,56.94,56.53,0.41,0.7253,104813.82,593172.611
000538.SZ,20250821,56.95,58.09,56.95,57.5,56.94,0.56,0.9835,193000.4,1112313.577
000538.SZ,20250822,57.49,57.65,57.08,57.64,57.5,0.14,0.2435,145521.54,835121.003
000538.SZ,20250825,57.98,58.0,57.5,57.99,57.64,0.35,0.6072,161702.16,933939.573
000538.SZ,20250826,58.13,58.19,57.65,57.83,57.99,-0.16,-0.2759,107422.35,621611.575
000538.SZ,20250827,57.93,57.97,56.9,56.9,57.83,-0.93,-1.6082,131221.49,753619.214
000538.SZ,20250828,56.9,57.18,56.32,57.17,56.9,0.27,0.4745,126625.86,719096.164
000538.SZ,20250829,57.17,58.27,57.07,57.58,57.17,0.41,0.7172,181867.97,1050508.671
000538.SZ,20250901,58.3,60.17,58.29,59.29,57.58,1.71,2.9698,301537.7,1785376.48
000538.SZ,20250902,59.34,60.29,58.98,59.69,59.29,0.4,0.6747,199848.71,1193829.008
000538.SZ,20250903,59.96,59.97,59.11,59.43,59.69,-0.26,-0.4356,137789.53,819772.892
000538.SZ,20250904,59.43,59.45,58.14,58.68,59.43,-0.75,-1.262,152671.43,897035.489
000538.SZ,20250905,58.76,59.37,58.51,59.3,58.68,0.62,1.0566,118948.26,701694.72
000538.SZ,20250908,59.3,60.69,59.18,60.24,59.3,0.94,1.5852,158140.64,950479.151
000538.SZ,20250909,60.24,60.68,59.53,59.79,60.24,-0.45,-0.747,115188.91,691102.429
000538.SZ,20250910,59.79,59.89,59.39,59.43,59.79,-0.36,-0.6021,80658.24,480499.295
000538.SZ,20250911,59.3,59.82,58.92,59.82,59.43,0.39,0.6562,102695.39,609526.442
000538.SZ,20250912,59.84,59.96,58.92,58.99,59.82,-0.83,-1.3875,107491.73,637846.19
000538.SZ,20250915,58.95,59.24,58.8,59.01,58.99,0.02,0.0339,92116.59,542949.948
000538.SZ,20250916,58.97,59.0,58.26,58.69,59.01,-0.32,-0.5423,87639.1,513738.111
000538.SZ,20250917,58.7,59.53,58.7,58.97,58.69,0.28,0.4771,88449.12,521673.752
000538.SZ,20250918,58.98,59.25,58.21,58.49,58.97,-0.48,-0.814,119655.96,702923.296
000538.SZ,20250919,58.36,58.75,58.02,58.48,58.49,-0.01,-0.0171,76315.32,445588.832
000538.SZ,20250922,58.49,58.65,57.81,58.14,58.48,-0.34,-0.5814,87033.14,505679.133
000538.SZ,20250923,58.16,58.48,57.31,57.93,58.14,-0.21,-0.3612,107910.91,623563.266
000538.SZ,20250924,57.18,57.84,56.85,57.69,56.91,0.78,1.3706,89336.42,512459.608
000538.SZ,20250925,57.69,57.74,56.97,57.28,57.69,-0.41,-0.7107,84602.66,484368.847
000538.SZ,20250926,57.2,57.39,56.62,57.11,57.28,-0.17,-0.2968,73414.83,418582.683
000538.SZ,20250929,57.18,57.5,56.63,57.36,57.11,0.25,0.4378,83813.99,477691.524
